split,image,psnr,ssim,lpips,generated_sha256
lolv2_real,low00736.png,25.81020325051229,0.8633935739910599,0.08519531786441803,b48041f7df3ce49e52909d8548661de0c18519de21695020d251e9f324dae688
lolv2_real,low00737.png,28.354082009343497,0.874615307117086,0.09095034003257751,f854d3095005575f69b1d8898cd3196656c806d863c63ffbdbe7955b6d8ff000
lolv2_real,low00738.png,28.60492013707383,0.8813936681878266,0.08664264529943466,b463918243014451da3090deac05f48193cf6fd7e4be8191aa67456dbcfc5725
lolv2_real,low00739.png,25.48395151014686,0.8269028856363114,0.259016215801239,72e6951eb0810971179c7728a5928ba25ac00ed2bb7cea52c374538a706bbdd9
lolv2_real,low00740.png,25.266155888051994,0.8245999583631226,0.2636619210243225,6794fb6b556199f371a9d7f0db5a1fc954d9e3a1cc0157391f003851c48d312d
lolv2_real,low00741.png,28.55941357893457,0.8411712725916415,0.11843187361955643,150011fa738838ae873d51939e10345c36c5d42cca622cf272cf90a62c1a95c9
lolv2_real,low00742.png,25.392787175164592,0.7416722817482566,0.29968857765197754,702f27360962a86fe2c097e3f8d8ff0f165e5bd198fd050fa5ba797b060c21b4
lolv2_real,low00743.png,26.83216129884933,0.8709115740901893,0.1350252777338028,c29feceb62f763a6645af720c8801fe950bcf48ef3fa9cb4b6e1a3693032e224
lolv2_real,low00744.png,25.65861559137879,0.830671617531754,0.20189914107322693,23c3981da083dc0a04387c9c3d7e4062ebc804bbdea7e499e777d03ed94f10fb
lolv2_real,low00745.png,24.241514896971236,0.8164581918082656,0.17725428938865662,4f90a4dfec3acc8396650c5896058941cd4e0999f5c48b86c5fc50ec7cc77bb2
lolv2_real,low00746.png,24.197681389046927,0.8043076481554147,0.1797022521495819,ddeeb6520fc30aab56519c02913c52eeecc12eae613a1110db39478e0f23bbfd
lolv2_real,low00747.png,24.49549382674504,0.8489263445800597,0.16658535599708557,d8d85dacad597bd8998452fd08fd49540dd1daff7be72b8e835d40d19e1860e5
lolv2_real,low00748.png,24.799140747572224,0.8618845572616761,0.16043876111507416,50df9e7c19f5b60409ae5769161164b213f364f80ebe4e42f6668ade4ca2ed1a
lolv2_real,low00749.png,24.762797907089734,0.811161043444776,0.2954137623310089,aadf2dc407546d55b01137ba1b69b9d646c6dfa24ace5c2304cccc644ad6f75c
lolv2_real,low00750.png,24.16507876592575,0.7914004148213761,0.29160669445991516,4441df5b147cf038d27e5cc30fe7326851f396b55ff7b73b422b14352edcddef
lolv2_real,low00751.png,21.966847083742177,0.7862582759289111,0.29280829429626465,b8d944f3eb6ae2dddd69df2a66c6630de1228eea461660baace5f94af7db2cff
lolv2_real,low00752.png,23.936489673800633,0.7811255335728918,0.31508669257164,d9670ab0ef0025fc2e3d51489a42e83d36ebe9c91b210bd921f745e1dc8070cf
lolv2_real,low00753.png,14.598004121012998,0.7259776862808369,0.2447834461927414,c1a5164f076a9fe723440f4759ff793ac16801ed950a90ee27293835038655b0
lolv2_real,low00754.png,14.295830016876677,0.7223737137111219,0.2513834536075592,9b20e8169c451a8e14df37995e77fcb0fd5343c1c15b116d3ca43db93b69b47d
lolv2_real,low00755.png,17.65951602864259,0.7162666692746207,0.3110388517379761,2e0e4c480e9f40b907464dc2dc0ab63bf9729b3e553c8e8ab023c9b3753ec723
lolv2_real,low00756.png,17.575692080056868,0.7087937511750194,0.31336286664009094,9e509f8b04f80c8d017aabaf7b1aabf4046ff4edd714fc060978846a53f5696c
lolv2_real,low00757.png,22.1855173261604,0.745891103235866,0.30756619572639465,e148a3319073a3ea35c545ba86a6ae2398397e5ce39fb55e15727767203586af
lolv2_real,low00758.png,21.782883888393904,0.7264202482888383,0.3196282982826233,ee51faafcadfada3320d8624aa2f1cff0857a444b56ec1b865956f0067dbbcb6
